77.0,23.0,1055.0
59.0,25.0,1043.0
18.0,84.0,998.0
21.0,78.0,1024.0
32.0,78.0,982.0
22.0,108.0,994.0
26.0,112.0,905.0
38.0,95.0,917.0
48.0,42.0,1010.0
43.0,19.0,1030.0
32.0,-63.0,925.0
16.0,-180.0,932.0
61.0,-216.0,888.0
91.0,-283.0,941.0
102.0,-424.0,940.0
89.0,-468.0,948.0
72.0,-503.0,939.0
54.0,-544.0,878.0
79.0,-562.0,850.0
43.0,-586.0,829.0
14.0,-678.0,786.0
15.0,-664.0,774.0
30.0,-705.0,780.0
32.0,-764.0,768.0
35.0,-756.0,759.0
59.0,-789.0,752.0
80.0,-760.0,692.0
98.0,-778.0,704.0
92.0,-767.0,678.0
68.0,-798.0,710.0
84.0,-784.0,672.0
74.0,-800.0,690.0
90.0,-812.0,682.0
85.0,-807.0,692.0
77.0,-802.0,671.0
100.0,-802.0,654.0
96.0,-789.0,661.0
99.0,-762.0,669.0
174.0,-754.0,616.0
176.0,-756.0,587.0
124.0,-792.0,813.0
 -,-,-
36.0,16.0,1008.0
28.0,12.0,1016.0
24.0,16.0,1016.0
24.0,16.0,1020.0
24.0,20.0,1012.0
28.0,12.0,1008.0
24.0,20.0,1020.0
28.0,20.0,1024.0
20.0,8.0,1004.0
28.0,12.0,1000.0
32.0,20.0,1004.0
28.0,8.0,1020.0
32.0,12.0,1016.0
28.0,20.0,1024.0
20.0,12.0,1028.0
16.0,16.0,1020.0
32.0,20.0,1024.0
24.0,16.0,1024.0
28.0,12.0,1016.0
36.0,20.0,1008.0
36.0,24.0,1008.0
40.0,24.0,1004.0
32.0,24.0,1000.0
32.0,32.0,1000.0
28.0,20.0,988.0
28.0,24.0,1012.0
28.0,28.0,1024.0
32.0,32.0,1020.0
36.0,32.0,1008.0
24.0,28.0,1004.0
28.0,28.0,1012.0
28.0,28.0,1012.0
44.0,12.0,996.0
4.0,12.0,1044.0
0.0,12.0,1036.0
12.0,8.0,1024.0
 -,-,-
64.0,60.0,956.0
76.0,92.0,952.0
76.0,88.0,960.0
56.0,80.0,952.0
56.0,72.0,956.0
68.0,76.0,1004.0
64.0,72.0,1040.0
60.0,80.0,1044.0
68.0,76.0,1048.0
60.0,76.0,1020.0
76.0,80.0,988.0
80.0,80.0,984.0
68.0,68.0,980.0
72.0,72.0,976.0
72.0,64.0,988.0
68.0,56.0,1016.0
68.0,60.0,1008.0
76.0,60.0,1012.0
64.0,56.0,1024.0
64.0,68.0,1016.0
60.0,64.0,1012.0
60.0,60.0,1012.0
68.0,64.0,1000.0
68.0,60.0,1000.0
64.0,64.0,1000.0
64.0,68.0,1008.0
56.0,64.0,1004.0
60.0,68.0,1012.0
48.0,68.0,1008.0
48.0,64.0,1012.0
48.0,64.0,1008.0
44.0,56.0,1012.0
36.0,48.0,1008.0
 -,-,-
56.0,-72.0,1044.0
68.0,-76.0,1068.0
64.0,-56.0,1064.0
60.0,-44.0,1032.0
44.0,-28.0,984.0
40.0,-24.0,948.0
44.0,-36.0,968.0
52.0,-32.0,992.0
32.0,-8.0,1036.0
32.0,28.0,1020.0
40.0,16.0,948.0
56.0,48.0,996.0
64.0,72.0,1036.0
56.0,64.0,960.0
52.0,60.0,1000.0
40.0,92.0,1040.0
48.0,112.0,1000.0
48.0,112.0,992.0
44.0,112.0,1000.0
52.0,132.0,988.0
48.0,84.0,956.0
56.0,104.0,1012.0
48.0,108.0,1028.0
56.0,108.0,1016.0
72.0,124.0,1000.0
72.0,120.0,1012.0
64.0,100.0,1004.0
52.0,104.0,1008.0
52.0,112.0,1012.0
56.0,108.0,992.0
52.0,104.0,980.0
60.0,88.0,976.0
64.0,88.0,1036.0
88.0,104.0,1060.0
68.0,108.0,1040.0
56.0,92.0,1032.0
24.0,100.0,1012.0
20.0,100.0,1000.0
16.0,112.0,1012.0
0.0,128.0,1020.0
0.0,140.0,988.0
